id,name,lat,lon,x_m,y_m
way:322703800,Mather Hall,40.3789,-82.3957,105.246,366.701
way:355563637,Kenyon Athletic Center,40.3706,-82.3928,350.963,-555.139
way:355564598,College Township Fire Department,40.3771,-82.3955,116.935,161.591
way:355564775,Hayes Hall (Physics & Math),40.3733,-82.3983,-117.27,-262.429
way:355565757,Episcopal Church of the Holy Spirit,40.375,-82.3966,22.3824,-72.0744
way:355566213,The Horn Gallery,40.3743,-82.3955,117.715,-145.23
way:355566214,Ransom Hall,40.3744,-82.3966,26.3891,-138.725
way:355576304,Sunset Cottage,40.3748,-82.3993,-204.809,-92.4342
way:355576305,Bailey House,40.3752,-82.399,-179.549,-46.1771
way:355576306,Lentz House,40.3756,-82.3986,-143.335,-2.46638
way:355576307,Cromwell Cottage,40.3753,-82.3981,-97.5075,-40.4283
way:355576416,Gund Gallery,40.3748,-82.3979,-87.4101,-88.8537
way:355576469,Ascension Hall,40.3729,-82.3966,26.1011,-298.69
way:355576487,Samuel Mather Hall,40.373,-82.3976,-60.4977,-296.11
way:355576635,Tomsich Hall,40.3729,-82.3985,-135.94,-302.092
way:355576652,Old Kenyon Hall,40.3713,-82.3972,-28.2402,-476.357
way:355576803,Village Market,40.3773,-82.3974,-44.7502,181.25
way:355576804,Gambier Post Office,40.377,-82.3975,-50.07,153.818
way:355576805,Gambier Town Hall,40.377,-82.3979,-86.0378,152.228
way:355577020,Bexley Hall,40.3811,-82.3968,12.0562,611.007
way:355577021,Colburn Hall,40.3813,-82.3968,13.2761,630.266
way:355577053,Caples Hall,40.3795,-82.3956,110.548,428.97
way:355577054,Weaver Cottage,40.3791,-82.3964,39.1888,382.702
way:355577636,Norton Hall,40.3786,-82.3979,-82.4799,330.006
way:355577709,Gund Hall,40.3783,-82.3983,-122.039,293.156
way:355577710,Lewis Hall,40.3779,-82.3979,-85.9954,251.258
way:355577729,Farr Hall,40.3768,-82.3964,42.6788,131.312
way:355577773,The People's Bank,40.3762,-82.3962,59.138,62.4159
way:355578257,Wiggin Street Cafe,40.3761,-82.3966,26.4654,56.011
way:355578258,Edwards House,40.3763,-82.3966,28.0579,76.104
way:355578260,Village Inn,40.3765,-82.3965,34.0554,95.3407
way:355578261,Epworth Methodist Church,40.3756,-82.395,160.239,-0.976367
way:355578262,Acland House,40.3756,-82.3955,121.535,-1.14316
way:355578270,Peirce Hall,40.3736,-82.3956,107.524,-230.394
way:355578297,Bolton Theatre,40.372,-82.3956,107.126,-400.4
way:355578298,Hill Theater,40.3723,-82.3956,111.48,-369.098
way:355578309,Leonard Hall,40.372,-82.3967,15.5463,-408.039
way:355578312,Hanna Hall,40.372,-82.3977,-68.5028,-403.291
way:355578322,Storer Hall,40.3738,-82.3982,-106.495,-200.36
way:355578340,Horvitz Hall,40.374,-82.3995,-218.177,-178.221
way:355578379,Timberlake House,40.3749,-82.3958,93.4539,-85.2732
way:355578380,Edelstein House,40.3746,-82.3958,96.0291,-110.881
way:355578381,Horwitz House,40.3751,-82.3958,92.844,-56.963
way:355578382,O'Connor House,40.3754,-82.3958,95.5971,-29.9093
way:355578383,Seitz House,40.3756,-82.3958,97.5623,-1.5101
way:355578384,Crozier Center,40.3761,-82.3958,92.4035,51.2074
way:355578635,Kenyon Inn & Restaurant,40.3764,-82.3978,-75.754,85.0551
